id;first_name;last_name;email;phone;address;city;zip;country;customer_number
1;Chelsey;Wyman;Kiana.Bosco@hotmail.com;(872) 166-4291 x128;pricing structure;West Leopoldo;Music functionalities Implementation;Macedonia;98464
2;Nolan;Ledner;Gladyce.Rippin@yahoo.com;584-512-2247 x67919;online;DuBuquehaven;partnerships Progressive copying;Gabon;9978
3;Mathilde;Runolfsson;Antonietta64@gmail.com;(769) 283-2385 x860;digital Ford Licensed;North Laronchester;Algerian Dinar;Namibia;93081
4;Olen;Price;Marcus.Runolfsson@gmail.com;029.173.6869;Tuna;Kovacekstad;Nevada connect Handcrafted;Nauru;86900
5;Evangeline;Block;Colten_Funk8@gmail.com;151-545-1518 x27174;Outdoors Horizontal;Shanahanstad;Cliff UIC-Franc;Zambia;46921
6;Carley;Hyatt;Brannon.Miller7@hotmail.com;1-449-302-4960;Central transmitting;Port Kaliview;multi-tasking;South Africa;4371
7;Llewellyn;Dickens;Kaleb.Gerhold@hotmail.com;296-310-1271 x06729;Refined Concrete Chips Buckinghamshire;Scarlettfort;Personal Loan Account;Czech Republic;52870
8;Dena;Shields;Korbin_Konopelski48@hotmail.com;1-986-618-7549 x64499;system-worthy;Lake Stonemouth;scale;Montserrat;3290
9;Raul;Marquardt;Nicolas.Bins@yahoo.com;1-935-784-7778 x71599;full-range;Beattyhaven;backing up Mouse portal;Seychelles;57333
10;Monte;MacGyver;Ignacio.OConner22@yahoo.com;503-678-6422 x60578;Jordan Wooden deposit;Kilbackview;Refined Steel Soap;Uzbekistan;79175
